t_s,ball_x_px,ball_y_px,setpoint_x_px,setpoint_y_px,err_x_m_window,err_y_m_window,servo1_deg,servo2_deg,servo3_deg
1.856010437011718750e+00,2.522745056152343750e+02,1.817843170166015625e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.217176396399736404e-03,1.190096978098154068e-02,1.957368640991743902e+01,4.002030596000523843e+01,4.328292514268247260e+01
1.882591247558593750e+00,2.520312500000000000e+02,1.818437500000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.311941727995872498e-03,1.187781710177659988e-02,1.977072349847344412e+01,4.017900637040958145e+01,4.292912944053628621e+01
1.914067268371582031e+00,2.520000000000000000e+02,1.820000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.324115511029958725e-03,1.181694678962230682e-02,1.996554001801402833e+01,3.961866640800609218e+01,4.330673065783882691e+01
1.966202497482299805e+00,2.522752838134765625e+02,1.837808990478515625e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.216873250901699066e-03,1.112316176295280457e-02,2.216064006585343904e+01,3.815563844005166771e+01,4.261579602465837269e+01
1.999796390533447266e+00,2.526208343505859375e+02,1.838012237548828125e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.082257557660341263e-03,1.111524458974599838e-02,1.981843280733999180e+01,3.900509379856338654e+01,4.406902936442583751e+01
2.026089668273925781e+00,2.522530059814453125e+02,1.848795166015625000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.225552245974540710e-03,1.069517433643341064e-02,2.265373140222278892e+01,3.903058061808835788e+01,4.123293231493443756e+01
2.057820558547973633e+00,2.519884796142578125e+02,1.848368530273437500e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.328603554517030716e-03,1.071179471909999847e-02,1.977174061443833608e+01,4.013710352382032198e+01,4.297072616471558604e+01
2.090443372726440430e+00,2.521230163574218750e+02,1.852848510742187500e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.276192445307970047e-03,1.053726766258478165e-02,2.084345381849591305e+01,3.888713486082821191e+01,4.318369033170672111e+01
2.125823497772216797e+00,2.518255767822265625e+02,1.862383728027343750e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.392065737396478653e-03,1.016580499708652496e-02,2.186643952429269788e+01,3.914558842629809021e+01,4.190633258325875943e+01
2.159501552581787109e+00,2.523673400878906250e+02,1.868979644775390625e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.181011278182268143e-03,9.908847510814666748e-03,2.138105277295864681e+01,3.791065543981611086e+01,4.363526586242372218e+01
2.187431097030639648e+00,2.523649291992187500e+02,1.878933715820312500e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.181950516998767853e-03,9.521067142486572266e-03,2.255553634717894695e+01,3.827032712671751824e+01,4.210500729220839844e+01
2.218806982040405273e+00,2.522326660156250000e+02,1.883019866943359375e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.233475938439369202e-03,9.361883625388145447e-03,2.105499310438354499e+01,3.925713946542620647e+01,4.260037423177632832e+01
2.250177145004272461e+00,2.518612670898437500e+02,1.892439422607421875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.378162022680044174e-03,8.994925767183303833e-03,2.222867543828052916e+01,3.913001363827801526e+01,4.155925164771936409e+01
2.288706779479980469e+00,2.516165008544921875e+02,1.898106842041015625e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.473515484482049942e-03,8.774139918386936188e-03,2.132744499814723937e+01,3.930656548501901426e+01,4.227987489169649393e+01
2.319202661514282227e+00,2.516953430175781250e+02,1.897465057373046875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.442800931632518768e-03,8.799142204225063324e-03,2.013496530848548005e+01,3.935001872522474287e+01,4.341244658023352088e+01
2.362224817276000977e+00,2.521326904296875000e+02,1.902504425048828125e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.272423382848501205e-03,8.602824062108993530e-03,2.108070172798411335e+01,3.845414770574545571e+01,4.338602694937963378e+01
2.394809484481811523e+00,2.525810852050781250e+02,1.909324340820312500e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.097742658108472824e-03,8.337141014635562897e-03,2.183382082713557537e+01,3.779346780494739733e+01,4.330495384688934735e+01
2.426765441894531250e+00,2.521323547363281250e+02,1.908915405273437500e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.272554233670234680e-03,8.353071287274360657e-03,2.028739215008316421e+01,4.020247192943406844e+01,4.239739997270682181e+01
2.467322587966918945e+00,2.518258361816406250e+02,1.909719085693359375e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.391964688897132874e-03,8.321762084960937500e-03,2.051542172620108673e+01,3.975538326092880936e+01,4.262773727784757227e+01
2.500772476196289062e+00,2.518381347656250000e+02,1.914379425048828125e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.387173499912023544e-03,8.140210062265396118e-03,2.143492065817315151e+01,3.883687045006625027e+01,4.264952484451295334e+01
2.522236585617065430e+00,2.519003601074218750e+02,1.909165191650390625e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.362932570278644562e-03,8.343340829014778137e-03,1.891049703678354632e+01,3.993200296908580071e+01,4.401669323168876247e+01
2.554178714752197266e+00,2.519559631347656250e+02,1.901683959960937500e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.341270938515663147e-03,8.634787052869796753e-03,1.866974490068005110e+01,4.008698501847769080e+01,4.409284821434621904e+01
2.586754560470581055e+00,2.521230163574218750e+02,1.902848510742187500e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.276192445307970047e-03,8.589419536292552948e-03,2.053547769095718323e+01,3.898023559829352536e+01,4.339279494582984853e+01
2.624493598937988281e+00,2.519411773681640625e+02,1.900000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.347031168639659882e-03,8.700388483703136444e-03,1.971934339403463454e+01,3.997272384211770202e+01,4.318888228213590708e+01
2.656410217285156250e+00,2.519411773681640625e+02,1.900000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.347031168639659882e-03,8.700388483703136444e-03,2.025226537889229306e+01,3.942757259875772746e+01,4.321906066146737402e+01
2.683460235595703125e+00,2.523155212402343750e+02,1.895272521972656250e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.201198160648345947e-03,8.884556591510772705e-03,1.899923312756615346e+01,3.920481766158569314e+01,4.466255929784365009e+01
2.713819265365600586e+00,2.522326660156250000e+02,1.893019866943359375e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.233475938439369202e-03,8.972313255071640015e-03,1.968268151490596196e+01,3.983117382115471372e+01,4.336815054152344828e+01
2.762646198272705078e+00,2.516875000000000000e+02,1.891250000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.445856135338544846e-03,9.041261859238147736e-03,1.989887265142361272e+01,4.026644956516769014e+01,4.271449094317731010e+01
2.799640178680419922e+00,2.517816162109375000e+02,1.887356262207031250e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.409191362559795380e-03,9.192950092256069183e-03,1.930646738957561936e+01,3.973466372150032555e+01,4.383209629671614493e+01
2.834066390991210938e+00,2.516911773681640625e+02,1.890000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.444423761218786240e-03,9.089957922697067261e-03,2.063726881196538798e+01,3.940791101902517113e+01,4.286026715223547967e+01
2.859339237213134766e+00,2.518593139648437500e+02,1.888574218750000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.378922913223505020e-03,9.145502932369709015e-03,1.976156950859584427e+01,3.932954212156167983e+01,4.379793333218402296e+01
2.890748262405395508e+00,2.518612670898437500e+02,1.892439422607421875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.378162022680044174e-03,8.994925767183303833e-03,2.098055620296443635e+01,3.907633304336056312e+01,4.285719653010032459e+01
2.922698974609375000e+00,2.519411773681640625e+02,1.890000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.347031168639659882e-03,9.089957922697067261e-03,1.958498546916984751e+01,3.960591978936976432e+01,4.369118786542206578e+01
2.961776018142700195e+00,2.518612670898437500e+02,1.892439422607421875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.378162022680044174e-03,8.994925767183303833e-03,2.057105004996479281e+01,3.940185734008630902e+01,4.293166259517747108e+01
2.993235826492309570e+00,2.519411773681640625e+02,1.890000000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.347031168639659882e-03,9.089957922697067261e-03,1.955390868310627539e+01,3.961570175703638341e+01,4.371157485330157755e+01
3.018621444702148438e+00,2.516875000000000000e+02,1.891250000000000000e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.445856135338544846e-03,9.041261859238147736e-03,2.041610756526236514e+01,3.989906317230793320e+01,4.257956264265096280e+01
3.050132513046264648e+00,2.517323760986328125e+02,1.896564178466796875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.428373813629150391e-03,8.834238164126873016e-03,2.130234465085557360e+01,3.885076925755221566e+01,4.276694023641984188e+01
3.081880807876586914e+00,2.514387817382812500e+02,1.895357208251953125e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.542749539017677307e-03,8.881257846951484680e-03,1.987156962625173406e+01,4.018347050844263890e+01,4.282574132372886311e+01
3.127464532852172852e+00,2.518222503662109375e+02,1.893688201904296875e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.393361672759056091e-03,8.946277201175689697e-03,1.983380043179426266e+01,3.910775007364009070e+01,4.395085528730137980e+01
3.168300151824951172e+00,2.513273315429687500e+02,1.885575561523437500e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.586166866123676300e-03,9.262321516871452332e-03,1.864661500324575982e+01,4.094583855934394023e+01,4.324440504670236862e+01
3.194866180419921875e+00,2.516030883789062500e+02,1.894484558105468750e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.478740204125642776e-03,8.915253914892673492e-03,2.207102933093987929e+01,3.804859963339305295e+01,4.281295657169544455e+01
3.226598262786865234e+00,2.515211334228515625e+02,1.888239440917968750e+02,2.656666564941406250e+02,2.123333282470703125e+02,5.510667804628610611e-03,9.158544242382049561e-03,1.868118290439511142e+01,4.036427855426734368e+01,4.380141971767903897e+01
